seqname,source,feature,start,end,score,strand,frame,attribute,gene_id,gene_name,gene_biotype,start_norm,end_norm,length
22,havana,gene,10939388,10961338,.,-,.,"gene_id ""ENSG00000283047""; gene_version ""1""; gene_name ""CU459211.1""; gene_source ""havana""; gene_biotype ""unprocessed_pseudogene"";",ENSG00000283047,CU459211.1,unprocessed_pseudogene,0.005076448871421459,0.005617243328383214,21950
22,havana,gene,16503304,16509475,.,+,.,"gene_id ""ENSG00000235969""; gene_version ""1""; gene_name ""CHEK2P4""; gene_source ""havana""; gene_biotype ""unprocessed_pseudogene"";",ENSG00000235969,CHEK2P4,unprocessed_pseudogene,0.14406548570831895,0.14409555106740726,6171
22,havana,gene,16521059,16527237,.,+,.,"gene_id ""ENSG00000273362""; gene_version ""1""; gene_name ""AP000547.2""; gene_source ""havana""; gene_biotype ""lincRNA"";",ENSG00000273362,AP000547.2,lincRNA,0.14450901331532076,0.14453888036912793,6178
22,havana,gene,16572027,16574637,.,+,.,"gene_id ""ENSG00000233995""; gene_version ""1""; gene_name ""AP000547.1""; gene_source ""havana""; gene_biotype ""unprocessed_pseudogene"";",ENSG00000233995,AP000547.1,unprocessed_pseudogene,0.14578221607925593,0.14572195710043967,2610
22,havana,gene,16575363,16582707,.,-,.,"gene_id ""ENSG00000239435""; gene_version ""2""; gene_name ""KCNMB3P1""; gene_source ""havana""; gene_biotype ""transcribed_unprocessed_pseudogene"";",ENSG00000239435,KCNMB3P1,transcribed_unprocessed_pseudogene,0.14586555080733016,0.1459233796578592,7344
22,ensembl_havana,gene,16590751,16592810,.,-,.,"gene_id ""ENSG00000198445""; gene_version ""4""; gene_name ""CCT8L2""; gene_source ""ensembl_havana""; gene_biotype ""protein_coding"";",ENSG00000198445,CCT8L2,protein_coding,0.1462499497268764,0.14617554472571664,2059
22,havana,gene,16601887,16698742,.,+,.,"gene_id ""ENSG00000100181""; gene_version ""22""; gene_name ""TPTEP1""; gene_source ""havana""; gene_biotype ""transcribed_unprocessed_pseudogene"";",ENSG00000100181,TPTEP1,transcribed_unprocessed_pseudogene,0.14652813184073574,0.1488195465042254,96855
22,havana,gene,16601911,16615111,.,+,.,"gene_id ""ENSG00000283633""; gene_version ""1""; gene_name ""AP000547.3""; gene_source ""havana""; gene_biotype ""lincRNA"";",ENSG00000283633,AP000547.3,lincRNA,0.14652873137115355,0.14673216485620152,13200
22,havana,gene,16653892,16659628,.,-,.,"gene_id ""ENSG00000249263""; gene_version ""2""; gene_name ""PARP4P3""; gene_source ""havana""; gene_biotype ""transcribed_unprocessed_pseudogene"";",ENSG00000249263,PARP4P3,transcribed_unprocessed_pseudogene,0.14782723931480668,0.14784328356607082,5736
22,havana,gene,16654066,16675540,.,-,.,"gene_id ""ENSG00000189295""; gene_version ""13""; gene_name ""ANKRD62P1-PARP4P3""; gene_source ""havana""; gene_biotype ""processed_transcript"";",ENSG00000189295,ANKRD62P1-PARP4P3,processed_transcript,0.14783158591033574,0.14824043793207572,21474
22,havana,gene,16671090,16679493,.,-,.,"gene_id ""ENSG00000259271""; gene_version ""1""; gene_name ""ANKRD62P1""; gene_source ""havana""; gene_biotype ""transcribed_unprocessed_pseudogene"";",ENSG00000259271,ANKRD62P1,transcribed_unprocessed_pseudogene,0.1482568528200287,0.14833910253795918,8403
22,havana,gene,16676016,16694648,.,-,.,"gene_id ""ENSG00000273244""; gene_version ""1""; gene_name ""AC005301.1""; gene_source ""havana""; gene_biotype ""processed_transcript"";",ENSG00000273244,AC005301.1,processed_transcript,0.14837990643828222,0.14871736261945767,18632
22,havana,gene,16690103,16704477,.,-,.,"gene_id ""ENSG00000241717""; gene_version ""1""; gene_name ""VWFP1""; gene_source ""havana""; gene_biotype ""transcribed_unprocessed_pseudogene"";",ENSG00000241717,VWFP1,transcribed_unprocessed_pseudogene,0.1487318058130969,0.14896268880494423,14374
22,havana,gene,16746869,16748645,.,-,.,"gene_id ""ENSG00000235343""; gene_version ""1""; gene_name ""LINC01665""; gene_source ""havana""; gene_biotype ""lincRNA"";",ENSG00000235343,LINC01665,lincRNA,0.15014984513379895,0.15006509667558932,1776
22,ensembl_havana,gene,16783412,16821699,.,-,.,"gene_id ""ENSG00000172967""; gene_version ""7""; gene_name ""XKR3""; gene_source ""ensembl_havana""; gene_biotype ""protein_coding"";",ENSG00000172967,XKR3,protein_coding,0.15106270513620207,0.15188848248844267,38287
22,havana,gene,16827474,16829335,.,+,.,"gene_id ""ENSG00000229027""; gene_version ""3""; gene_name ""HSFY1P1""; gene_source ""havana""; gene_biotype ""transcribed_unprocessed_pseudogene"";",ENSG00000229027,HSFY1P1,transcribed_unprocessed_pseudogene,0.1521633930224152,0.15207907265553752,1861
22,havana,gene,16844399,16846357,.,+,.,"gene_id ""ENSG00000283535""; gene_version ""1""; gene_name ""AC007064.4""; gene_source ""havana""; gene_biotype ""unprocessed_pseudogene"";",ENSG00000283535,AC007064.4,unprocessed_pseudogene,0.15258618686913475,0.15250393198297188,1958
22,havana,gene,16857619,16860718,.,-,.,"gene_id ""ENSG00000220248""; gene_version ""1""; gene_name ""ZNF402P""; gene_source ""havana""; gene_biotype ""processed_pseudogene"";",ENSG00000220248,ZNF402P,processed_pseudogene,0.1529164282076064,0.15286237428124969,3099
22,havana,gene,16869478,16871126,.,+,.,"gene_id ""ENSG00000237689""; gene_version ""1""; gene_name ""AC007064.2""; gene_source ""havana""; gene_biotype ""lincRNA"";",ENSG00000237689,AC007064.2,lincRNA,0.15321267117530193,0.15312215197364404,1648
22,havana,gene,16950086,17034417,.,-,.,"gene_id ""ENSG00000280156""; gene_version ""1""; gene_name ""AC006548.3""; gene_source ""havana""; gene_biotype ""sense_overlapping"";",ENSG00000280156,AC006548.3,sense_overlapping,0.15522629400522042,0.1571978013941636,84331
22,ensembl_havana,gene,16961936,17008222,.,-,.,"gene_id ""ENSG00000215568""; gene_version ""7""; gene_name ""GAB4""; gene_source ""ensembl_havana""; gene_biotype ""protein_coding"";",ENSG00000215568,GAB4,protein_coding,0.1555223121490093,0.1565439892638532,46286
22,havana,gene,17021398,17022570,.,-,.,"gene_id ""ENSG00000276400""; gene_version ""1""; gene_name ""VN1R9P""; gene_source ""havana""; gene_biotype ""processed_pseudogene"";",ENSG00000276400,VN1R9P,processed_pseudogene,0.15700769871997758,0.15690210708960978,1172
22,havana,gene,17036570,17060825,.,+,.,"gene_id ""ENSG00000237438""; gene_version ""7""; gene_name ""CECR7""; gene_source ""havana""; gene_biotype ""transcribed_unprocessed_pseudogene"";",ENSG00000237438,CECR7,transcribed_unprocessed_pseudogene,0.15738670186576365,0.15785692988193742,24255
22,havana,gene,17067821,17070675,.,+,.,"gene_id ""ENSG00000273203""; gene_version ""1""; gene_name ""AC006946.2""; gene_source ""havana""; gene_biotype ""lincRNA"";",ENSG00000273203,AC006946.2,lincRNA,0.1581673654110418,0.15810278021534294,2854
22,ensembl_havana,gene,17084954,17115694,.,+,.,"gene_id ""ENSG00000177663""; gene_version ""13""; gene_name ""IL17RA""; gene_source ""ensembl_havana""; gene_biotype ""protein_coding"";",ENSG00000177663,IL17RA,protein_coding,0.15859535518804896,0.15922642855641725,30740
22,ensembl_havana,gene,17116299,17121367,.,-,.,"gene_id ""ENSG00000183307""; gene_version ""3""; gene_name ""TMEM121B""; gene_source ""ensembl_havana""; gene_biotype ""protein_coding"";",ENSG00000183307,TMEM121B,protein_coding,0.15937836689413018,0.159368023372804,5068
22,havana,gene,17121586,17132104,.,+,.,"gene_id ""ENSG00000235478""; gene_version ""4""; gene_name ""LINC01664""; gene_source ""havana""; gene_biotype ""lincRNA"";",ENSG00000235478,LINC01664,lincRNA,0.15951043844908475,0.15963601271592834,10518
22,ensembl_havana,gene,17137511,17165287,.,-,.,"gene_id ""ENSG00000069998""; gene_version ""12""; gene_name ""HDHD5""; gene_source ""ensembl_havana""; gene_biotype ""protein_coding"";",ENSG00000069998,HDHD5,protein_coding,0.1599082518617293,0.1604642413061207,27776
22,havana,gene,17159384,17165445,.,+,.,"gene_id ""ENSG00000185837""; gene_version ""3""; gene_name ""HDHD5-AS1""; gene_source ""havana""; gene_biotype ""antisense_RNA"";",ENSG00000185837,HDHD5-AS1,antisense_RNA,0.16045464889625202,0.16046818489522507,6061
22,ensembl_havana,gene,17178790,17221989,.,-,.,"gene_id ""ENSG00000093072""; gene_version ""15""; gene_name ""ADA2""; gene_source ""ensembl_havana""; gene_biotype ""protein_coding"";",ENSG00000093072,ADA2,protein_coding,0.16093941919991167,0.1618794906060962,43199
22,havana,gene,17256859,17266733,.,-,.,"gene_id ""ENSG00000241832""; gene_version ""1""; gene_name ""CECR3""; gene_source ""havana""; gene_biotype ""lincRNA"";",ENSG00000241832,CECR3,lincRNA,0.16288961670771368,0.16299627510537495,9874
22,ensembl_havana,gene,17359949,17558149,.,+,.,"gene_id ""ENSG00000099954""; gene_version ""18""; gene_name ""CECR2""; gene_source ""ensembl_havana""; gene_biotype ""protein_coding"";",ENSG00000099954,CECR2,protein_coding,0.16546484965650654,0.1702698508170193,198200
22,havana,gene,17418697,17419828,.,+,.,"gene_id ""ENSG00000229492""; gene_version ""1""; gene_name ""FO681548.1""; gene_source ""havana""; gene_biotype ""processed_pseudogene"";",ENSG00000229492,FO681548.1,processed_pseudogene,0.16693240019754527,0.1668174382315389,1131
22,ensembl_havana,gene,17563439,17590994,.,+,.,"gene_id ""ENSG00000182902""; gene_version ""13""; gene_name ""SLC25A18""; gene_source ""ensembl_havana""; gene_biotype ""protein_coding"";",ENSG00000182902,SLC25A18,protein_coding,0.17054811818643048,0.17108964312165928,27555
22,ensembl_havana,gene,17580157,17589192,.,-,.,"gene_id ""ENSG00000236754""; gene_version ""5""; gene_name ""AC007666.1""; gene_source ""ensembl_havana""; gene_biotype ""antisense_RNA"";",ENSG00000236754,AC007666.1,antisense_RNA,0.1709657410832965,0.17104466623832965,9035
22,ensembl_havana,gene,17592136,17628818,.,-,.,"gene_id ""ENSG00000131100""; gene_version ""12""; gene_name ""ATP6V1E1""; gene_source ""ensembl_havana""; gene_biotype ""protein_coding"";",ENSG00000131100,ATP6V1E1,protein_coding,0.17126498170308105,0.17203370840193638,36682
22,ensembl_havana,gene,17628855,17730855,.,+,.,"gene_id ""ENSG00000099968""; gene_version ""17""; gene_name ""BCL2L13""; gene_source ""ensembl_havana""; gene_biotype ""protein_coding"";",ENSG00000099968,BCL2L13,protein_coding,0.1721822382618814,0.17458049322119495,102000
22,ensembl_havana,gene,17734138,17774770,.,-,.,"gene_id ""ENSG00000015475""; gene_version ""18""; gene_name ""BID""; gene_source ""ensembl_havana""; gene_biotype ""protein_coding"";",ENSG00000015475,BID,protein_coding,0.17481225330260075,0.17567658635738811,40632
22,havana,gene,17777322,17779481,.,+,.,"gene_id ""ENSG00000269220""; gene_version ""1""; gene_name ""LINC00528""; gene_source ""havana""; gene_biotype ""lincRNA"";",ENSG00000269220,LINC00528,lincRNA,0.175891008367696,0.17579417020720267,2159
22,ensembl_havana,gene,17787649,18024559,.,-,.,"gene_id ""ENSG00000243156""; gene_version ""7""; gene_name ""MICAL3""; gene_source ""ensembl_havana""; gene_biotype ""protein_coding"";",ENSG00000243156,MICAL3,protein_coding,0.17614898131038864,0.1819111760965786,236910
22,havana,gene,17787652,17811497,.,-,.,"gene_id ""ENSG00000093100""; gene_version ""13""; gene_name ""AC016026.1""; gene_source ""havana""; gene_biotype ""processed_transcript"";",ENSG00000093100,AC016026.1,processed_transcript,0.17614905625169086,0.17659327114875703,23845
22,havana,gene,18004270,18007308,.,-,.,"gene_id ""ENSG00000234913""; gene_version ""1""; gene_name ""AC016027.2""; gene_source ""havana""; gene_biotype ""sense_intronic"";",ENSG00000234913,AC016027.2,sense_intronic,0.18156026792015154,0.18148060106088537,3038
22,havana,gene,18029385,18037968,.,+,.,"gene_id ""ENSG00000235295""; gene_version ""1""; gene_name ""LINC01634""; gene_source ""havana""; gene_biotype ""lincRNA"";",ENSG00000235295,LINC01634,lincRNA,0.18218765152194544,0.18224585702253132,8583
22,ensembl_havana,gene,18076527,18078884,.,-,.,"gene_id ""ENSG00000225335""; gene_version ""3""; gene_name ""AC016027.1""; gene_source ""ensembl_havana""; gene_biotype ""antisense_RNA"";",ENSG00000225335,AC016027.1,antisense_RNA,0.18336527914510958,0.18326709684401551,2357
22,ensembl_havana,gene,18077920,18131138,.,+,.,"gene_id ""ENSG00000215193""; gene_version ""12""; gene_name ""PEX26""; gene_source ""ensembl_havana""; gene_biotype ""protein_coding"";",ENSG00000215193,PEX26,protein_coding,0.18340007688977608,0.1845713266228755,53218
22,havana,gene,18102457,18103649,.,-,.,"gene_id ""ENSG00000225225""; gene_version ""1""; gene_name ""ARL2BPP10""; gene_source ""havana""; gene_biotype ""processed_pseudogene"";",ENSG00000225225,ARL2BPP10,processed_pseudogene,0.1840130218006746,0.18388521699698884,1192
22,ensembl_havana,gene,18110331,18146554,.,+,.,"gene_id ""ENSG00000183785""; gene_version ""14""; gene_name ""TUBA8""; gene_source ""ensembl_havana""; gene_biotype ""protein_coding"";",ENSG00000183785,TUBA8,protein_coding,0.18420971773858125,0.18495610111422367,36223
22,havana,gene,18110759,18131154,.,-,.,"gene_id ""ENSG00000280007""; gene_version ""1""; gene_name ""AC008079.2""; gene_source ""havana""; gene_biotype ""antisense_RNA"";",ENSG00000280007,AC008079.2,antisense_RNA,0.18422040936436537,0.1845717259736709,20395
22,ensembl_havana,gene,18149899,18177397,.,+,.,"gene_id ""ENSG00000184979""; gene_version ""9""; gene_name ""USP18""; gene_source ""ensembl_havana""; gene_biotype ""protein_coding"";",ENSG00000184979,USP18,protein_coding,0.18519814355406128,0.18572592465059176,27498
22,havana,gene,18178038,18205915,.,-,.,"gene_id ""ENSG00000187979""; gene_version ""4""; gene_name ""AC008079.1""; gene_source ""havana""; gene_biotype ""antisense_RNA"";",ENSG00000187979,AC008079.1,antisense_RNA,0.185901067988498,0.18643771752450627,27877
22,havana,gene,18340145,18345899,.,+,.,"gene_id ""ENSG00000276160""; gene_version ""1""; gene_name ""GGTLC5P""; gene_source ""havana""; gene_biotype ""unprocessed_pseudogene"";",ENSG00000276160,GGTLC5P,unprocessed_pseudogene,0.1899505712150958,0.18993163763328147,5754
22,havana,gene,18361823,18391105,.,-,.,"gene_id ""ENSG00000274044""; gene_version ""4""; gene_name ""LINC01660""; gene_source ""havana""; gene_biotype ""lincRNA"";",ENSG00000274044,LINC01660,lincRNA,0.19049209706497386,0.19105995338677678,29282
22,havana,gene,18374106,18375689,.,+,.,"gene_id ""ENSG00000276874""; gene_version ""1""; gene_name ""AC011718.1""; gene_source ""havana""; gene_biotype ""lincRNA"";",ENSG00000276874,AC011718.1,lincRNA,0.19079893173671722,0.19067517889542865,1583
22,havana,gene,18400407,18404206,.,-,.,"gene_id ""ENSG00000275060""; gene_version ""1""; gene_name ""PPP1R26P3""; gene_source ""havana""; gene_biotype ""unprocessed_pseudogene"";",ENSG00000275060,PPP1R26P3,unprocessed_pseudogene,0.19145594213332406,0.19138694680991847,3799
22,ensembl_havana,gene,18422244,18500594,.,+,.,"gene_id ""ENSG00000277870""; gene_version ""5""; gene_name ""FAM230A""; gene_source ""ensembl_havana""; gene_biotype ""protein_coding"";",ENSG00000277870,FAM230A,protein_coding,0.19200143987222007,0.19379273583898335,78350
22,havana,gene,18486999,18491247,.,-,.,"gene_id ""ENSG00000277017""; gene_version ""1""; gene_name ""AC023490.1""; gene_source ""havana""; gene_biotype ""lincRNA"";",ENSG00000277017,AC023490.1,lincRNA,0.1936190478807474,0.1935594400962076,4248
22,havana,gene,18501794,18512187,.,-,.,"gene_id ""ENSG00000278044""; gene_version ""1""; gene_name ""AC023490.3""; gene_source ""havana""; gene_biotype ""lincRNA"";",ENSG00000278044,AC023490.3,lincRNA,0.1939886334028872,0.19408209044966052,10393
22,havana,gene,18516344,18518161,.,-,.,"gene_id ""ENSG00000274252""; gene_version ""1""; gene_name ""GGTLC3""; gene_source ""havana""; gene_biotype ""protein_coding"";",ENSG00000274252,GGTLC3,protein_coding,0.1943520987186786,0.19423119805288533,1817
22,ensembl_havana,gene,18527802,18530573,.,+,.,"gene_id ""ENSG00000278558""; gene_version ""4""; gene_name ""TMEM191B""; gene_source ""ensembl_havana""; gene_biotype ""protein_coding"";",ENSG00000278558,TMEM191B,protein_coding,0.19463832453231006,0.19454099443240097,2771
22,havana,gene,18533646,18577968,.,-,.,"gene_id ""ENSG00000274602""; gene_version ""4""; gene_name ""PI4KAP1""; gene_source ""havana""; gene_biotype ""transcribed_unprocessed_pseudogene"";",ENSG00000274602,PI4KAP1,transcribed_unprocessed_pseudogene,0.19478431018904444,0.19572394636658916,44322
22,ensembl_havana,gene,18605815,18611919,.,-,.,"gene_id ""ENSG00000275793""; gene_version ""1""; gene_name ""RIMBP3""; gene_source ""ensembl_havana""; gene_biotype ""protein_coding"";",ENSG00000275793,RIMBP3,protein_coding,0.19658712313580387,0.19657134379495972,6104
22,havana,gene,18623339,18625289,.,-,.,"gene_id ""ENSG00000278110""; gene_version ""1""; gene_name ""SUSD2P2""; gene_source ""havana""; gene_biotype ""unprocessed_pseudogene"";",ENSG00000278110,SUSD2P2,unprocessed_pseudogene,0.19702488026253437,0.1969050513033487,1950
22,havana,gene,18636445,18638405,.,-,.,"gene_id ""ENSG00000273907""; gene_version ""1""; gene_name ""CA15P2""; gene_source ""havana""; gene_biotype ""unprocessed_pseudogene"";",ENSG00000273907,CA15P2,unprocessed_pseudogene,0.19735227383152146,0.19723241911786105,1960
22,havana,gene,18650023,18653617,.,-,.,"gene_id ""ENSG00000273643""; gene_version ""1""; gene_name ""PPP1R26P2""; gene_source ""havana""; gene_biotype ""processed_pseudogene"";",ENSG00000273643,PPP1R26P2,processed_pseudogene,0.19769145816539196,0.1976121018865681,3594
22,havana,gene,18715815,18719341,.,+,.,"gene_id ""ENSG00000278008""; gene_version ""1""; gene_name ""PPP1R26P4""; gene_source ""havana""; gene_biotype ""processed_pseudogene"";",ENSG00000278008,PPP1R26P4,processed_pseudogene,0.19933497088405505,0.1992525351162882,3526
22,havana,gene,18733914,18757906,.,+,.,"gene_id ""ENSG00000182824""; gene_version ""7""; gene_name ""LINC01662""; gene_source ""havana""; gene_biotype ""lincRNA"";",ENSG00000182824,LINC01662,lincRNA,0.19978709176037868,0.20021509533027634,23992
